인덱스번호,카페이름,url
123,열매제과점베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1276749064?c=15.00,0,0,0,dh&placePath=/review"
124,컴포즈커피 건대양꼬치거리점,"https://map.naver.com/p/search/건대입구 카페/place/1004766144?c=15.00,0,0,0,dh&placePath=/review"
125,비에이치테이블브런치,"https://map.naver.com/p/search/건대입구 카페/place/1431086824?c=15.00,0,0,0,dh&placePath=/review"
126,메가MGC커피 화양사거리점카페,"https://map.naver.com/p/search/건대입구 카페/place/1995118929?c=15.00,0,0,0,dh&placePath=/review"
127,은비스브레드 건국대점베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1034029389?c=15.00,0,0,0,dh&placePath=/review"
128,"아이오쓰리 성수사거리점카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1918028699?c=15.00,0,0,0,dh&placePath=/review"
129,"디저트르모어 룸원카이막카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1294171382?c=15.00,0,0,0,dh&placePath=/review"
130,파리바게뜨 광진구청점,"https://map.naver.com/p/search/건대입구 카페/place/18815541?c=15.00,0,0,0,dh&placePath=/review"
131,"카페호이 CAFE HO2카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/37430423?c=15.00,0,0,0,dh&placePath=/review"
132,메가MGC커피 광진자양뚝섬로점카페,"https://map.naver.com/p/search/건대입구 카페/place/1807722302?c=15.00,0,0,0,dh&placePath=/review"
133,컴포즈커피 자양신양초교점,"https://map.naver.com/p/search/건대입구 카페/place/1012621281?c=15.00,0,0,0,dh&placePath=/review"
134,쑥띵,"https://map.naver.com/p/search/건대입구 카페/place/1141376993?c=15.00,0,0,0,dh&placePath=/review"
135,"코에오 COEO카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1074798383?c=15.00,0,0,0,dh&placePath=/review"
136,코코버블티 건대입구점,"https://map.naver.com/p/search/건대입구 카페/place/1003173072?c=15.00,0,0,0,dh&placePath=/review"
137,"최가커피회관카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1332129677?c=15.00,0,0,0,dh&placePath=/review"
138,TWG Tea 성수낙낙점,"https://map.naver.com/p/search/건대입구 카페/place/1780702982?c=15.00,0,0,0,dh&placePath=/review"
139,웨이빙 젤라또,"https://map.naver.com/p/search/건대입구 카페/place/1893302763?c=15.00,0,0,0,dh&placePath=/review"
140,파리바게뜨 화양리점,"https://map.naver.com/p/search/건대입구 카페/place/1063128843?c=15.00,0,0,0,dh&placePath=/review"
141,MouseRabbit카페,"https://map.naver.com/p/search/건대입구 카페/place/31305562?c=15.00,0,0,0,dh&placePath=/review"
142,메가MGC커피 구의중앙점,"https://map.naver.com/p/search/건대입구 카페/place/1937505350?c=15.00,0,0,0,dh&placePath=/review"
143,공차 자양점차,"https://map.naver.com/p/search/건대입구 카페/place/1102881943?c=15.00,0,0,0,dh&placePath=/review"
144,빙동댕 프리미엄 빙수카페 건대점빙수,"https://map.naver.com/p/search/건대입구 카페/place/1855575032?c=15.00,0,0,0,dh&placePath=/review"
145,특별한 호두와플,"https://map.naver.com/p/search/건대입구 카페/place/1136497485?c=15.00,0,0,0,dh&placePath=/review"
146,커피빈 건대스타시티점,"https://map.naver.com/p/search/건대입구 카페/place/36252435?c=15.00,0,0,0,dh&placePath=/review"
147,라그랑우스베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1232651474?c=15.00,0,0,0,dh&placePath=/review"
148,"벨렘351 건대점카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1592070250?c=15.00,0,0,0,dh&placePath=/review"
149,베이글카페 화양점베이글,"https://map.naver.com/p/search/건대입구 카페/place/567135133?c=15.00,0,0,0,dh&placePath=/review"
150,"스테인드커피로스터스카페,디저트","https://map.naver.com/p/search/건대입구 카페/place/1701693760?c=15.00,0,0,0,dh&placePath=/review"
151,아레밀 건대점차,"https://map.naver.com/p/search/건대입구 카페/place/1834660935?c=15.00,0,0,0,dh&placePath=/review"
152,라퓨타 스터디라운지,"https://map.naver.com/p/search/건대입구 카페/place/1158080182?c=15.00,0,0,0,dh&placePath=/review"
153,커피나무 건대입구역점카페,"https://map.naver.com/p/search/건대입구 카페/place/1957957154?c=15.00,0,0,0,dh&placePath=/review"
154,청주명문도너츠베이커리,"https://map.naver.com/p/search/건대입구 카페/place/38010583?c=15.00,0,0,0,dh&placePath=/review"
155,브레댄코 건대입구역점베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1304515385?c=15.00,0,0,0,dh&placePath=/review"
156,카페인모아카페,"https://map.naver.com/p/search/건대입구 카페/place/1081689847?c=15.00,0,0,0,dh&placePath=/review"
157,앤딩스터디카페 자양점,"https://map.naver.com/p/search/건대입구 카페/place/1214846214?c=15.00,0,0,0,dh&placePath=/review"
158,앤티앤스 롯데백화점 건대스타시티점베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1214874793?c=15.00,0,0,0,dh&placePath=/review"
159,스타벅스 자양이마트점,"https://map.naver.com/p/search/건대입구 카페/place/1500788707?c=15.00,0,0,0,dh&placePath=/review"
160,카페 오알피하우스,"https://map.naver.com/p/search/건대입구 카페/place/1796410989?c=15.00,0,0,0,dh&placePath=/review"
161,공차 건대스타시티점차,"https://map.naver.com/p/search/건대입구 카페/place/1833197796?c=15.00,0,0,0,dh&placePath=/review"
162,로이베이커리카페베이커리,"https://map.naver.com/p/search/건대입구 카페/place/1276240381?c=15.00,0,0,0,dh&placePath=/review"
163,에스프레소 바 시 자양점,"https://map.naver.com/p/search/건대입구 카페/place/1027353981?c=15.00,0,0,0,dh&placePath=/review"
164,요거트아이스크림의정석 건대점,"https://map.naver.com/p/search/건대입구 카페/place/1963577906?c=15.00,0,0,0,dh&placePath=/review"
165,스테레오커피,"https://map.naver.com/p/search/건대입구 카페/place/1438964098?c=15.00,0,0,0,dh&placePath=/review"
166,빽다방 자양전통시장점테이크아웃커피,"https://map.naver.com/p/search/건대입구 카페/place/1948516256?c=15.00,0,0,0,dh&placePath=/review"
167,메가MGC커피 건대화양제일시장점카페,"https://map.naver.com/p/search/건대입구 카페/place/1556825830?c=15.00,0,0,0,dh&placePath=/review"
